"Fiscal Year","Start Date","End Date","Event Name","Event Type","Virtual / In-Person","Partners","Vol.","Vol. Hours","Prog. Hours","ARNG Adults","ANG Adults","Other Branch Adults","ARNG 6-12","ANG 6-12","Other Branch 6-12","ARNG 13-18","ANG 13-18","Other Branch 13-18","Other","0-5","Total","Resources / Referrals","Event Status","Reporting Complete","Event ID"
"FY20","2019-10-06","2019-10-06","Fall Festival Sioux City","Community Outreach, Briefings and Events","","","0","0","0","0","125","25","0","75","0","0","50","0","25","0","300","0","Completed","true","f60054c1-a476-49a4-a646-bc3d73c4edb4"
"FY20","2019-10-08","2019-10-08","Patching Ceremony","Command/Unit/FRG Briefings","","","0","0","0","20","0","0","2","0","0","2","0","0","0","0","24","0","Completed","true","33e9c101-7c24-4da6-88e3-f3dd090e2133"
"FY20","2019-10-19","2019-10-19","Military Monster Ball","Partnered Event or Activity","","","12","4","4","31","52","25","16","54","0","5","8","0","0","0","191","0","Completed","true","9cf4b4d6-1491-4355-8e44-db37cca2aa46"
"FY20","2019-10-27","2019-10-27","Des Moines Fall Family Festival","Partnered Event or Activity","","","84","2","2","125","0","13","110","15","40","53","10","0","0","0","366","0","Completed","true","444bda8a-6a39-48d3-a09b-389ce3adffbc"
"FY20","2019-11-09","2019-11-09","Veterans Day Program","Partnered Event or Activity","","","0","0","0","20","0","160","15","0","0","5","0","0","0","0","200","0","Completed","true","0d1533d1-7378-4966-a8ee-c10668369d8c"
"FY20","2019-11-23","2019-11-23","MFE Ninja Warrior Junior","Partnered Event or Activity","","","1","2","2","46","6","0","40","13","0","4","0","0","0","0","109","0","Completed","true","bb42d447-5f01-4573-918c-69e6262c215f"
"FY20","2019-11-25","2019-11-25","Summit Middle School Military Support Meeting","Education Outreach and School Support Groups","","","0","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","Completed","true","0be69074-3487-43bd-bce4-5a677c3a0f3a"
"FY20","2019-12-05","2019-12-05","132nd Holiday Party","Family Days and Military Appreciation Events","","","0","0","3","0","17","0","0","12","0","0","2","0","0","0","31","0","Completed","true","61fbd9a7-cf20-47a1-9866-bab3fc29014a"
"FY20","2019-12-05","2019-12-05","Joining Community Forces","Community Outreach, Briefings and Events","","","0","0","0","26","0","20","0","0","0","0","0","0","0","0","46","0","Completed","true","41d9987f-390a-4c15-8295-04212e3b871c"
"FY20","2019-12-06","2019-12-06","132nd Holiday Party","Family Days and Military Appreciation Events","","","0","0","4","0","160","0","0","37","0","0","10","0","0","0","207","0","Completed","true","c1401acd-4088-4b73-bda4-99376abc4c03"
"FY20","2019-12-07","2019-12-07","JFHQ Holiday Party","Family Days and Military Appreciation Events","","","2","4","0","0","0","0","11","0","0","8","0","0","0","0","19","0","Completed","true","c39dc8b1-acab-42cf-8491-4cbd24b50a3e"
"FY20","2019-12-18","2019-12-18","State Teen Panel","Teen Council Meeting or Training","","","0","0","1","0","0","0","0","0","0","2","3","0","0","0","5","0","Completed","true","10f5df90-38e5-4815-b39a-826905cdcc26"
